lon,lat,poly_area_deg2
-90.402113,15.971995,0.004356457
-90.546449,15.979230,0.0029937633
-90.339212,16.091042,0.0036509603
-93.417693,17.568716,0.0005866804
-93.331556,17.588069,0.0012630599
-92.280286,17.605506,0.0019628996
-93.132455,17.613900,0.001063621
-93.403213,17.610423,0.0014128337
-92.562438,17.617710,0.0012818211
-93.227863,17.624210,0.00064917046
-94.912380,17.628543,0.00079600326
-94.085043,17.631733,0.00092747641
-94.961936,17.636214,0.0007465104
-94.213740,17.636989,0.0011136423
-93.182768,17.645411,0.00083515965
-93.823479,17.652102,0.0011209915
-94.622842,17.655377,0.00087418375
-93.919237,17.667668,0.0013095955
-95.011961,17.674562,0.00084561948
-92.393682,17.664260,0.0021996535
-94.487927,17.672991,0.001718093
-93.365676,17.669405,0.0017530542
-93.217548,17.682029,0.0010783875
-94.928376,17.696313,0.0010572381
-93.293712,17.696327,0.0020885151
-94.568318,17.704725,0.0010535687
-94.288987,17.709720,0.00078360588
-93.140380,17.698539,0.00270003
-93.891424,17.715384,0.0010699729
-92.992585,17.691804,0.0040459725
-94.344841,17.722690,0.00093616762
-94.528492,17.732393,0.00064651621
-95.007966,17.735084,0.00034517067
-93.955840,17.747046,0.00062370757
-93.209063,17.734697,0.0022226497
-93.156342,17.770678,0.0018361071
-94.428878,17.749452,0.0028988179
-94.182370,17.778156,0.00085293454
-92.914278,17.753059,0.0067182502
-94.946437,17.788570,0.00099139272
-94.568292,17.792737,0.0018092591
-94.310554,17.804079,0.000858785
-94.101102,17.803480,0.00096804733
-94.146678,17.813447,0.00067595785
-92.810125,17.811958,0.0011591021
-93.299838,17.789777,0.0070108762
-94.253852,17.820620,0.00076462395
-94.392806,17.824157,0.00097055729
-92.942630,17.823028,0.0015042919
-94.061656,17.836440,0.00097069458
-94.528851,17.842563,0.00057878143
-93.714114,17.840776,0.0010379584
-93.020618,17.834265,0.0024203998
-92.853421,17.847261,0.0012336219
-94.577826,17.859974,0.00060839012
-92.909306,17.851819,0.0013783933
-94.437414,17.853679,0.0028201227
-94.347671,17.880954,0.00092316897
-94.554955,17.886232,0.00049394145
-93.633141,17.890079,0.0010552679
-93.379789,17.897318,0.001164029
-94.610449,17.908080,0.00072200652
-93.999424,17.908851,0.001750353
-94.716046,17.913962,0.00081331979
-94.862375,17.907114,0.0014910981
-93.513033,17.920066,0.0012618989
-93.187653,17.873637,0.011841834
-94.366333,17.945172,0.00075513724
-93.843056,17.949897,0.0012005496
-94.817302,17.956624,0.00077771614
-94.429549,17.980420,0.00087146034
-94.221663,17.981166,0.0021405411
-94.732536,18.004942,0.0025587389
-93.917454,18.014645,0.0010437119
-94.623163,18.025640,0.00083207177
-94.402519,18.032700,0.0011541603
-93.165375,18.019614,0.0022988832
-92.970899,18.032645,0.0015643616
-93.662665,18.047373,0.0015753516
-92.954162,18.059584,0.00036319853
-94.295934,18.064667,0.00081205624
-93.922437,18.062723,0.0011197475
-94.039186,18.066571,0.0011211813
-93.012329,18.070402,0.00074863157
-94.472185,18.073443,0.00086810683
-93.071529,18.017989,0.01108248
-94.372796,18.097945,0.00090677979
-94.267591,18.109207,0.0010072711
-92.937857,18.116071,0.0019598156
-93.953095,18.116017,0.0010178361
-94.116497,18.122688,0.00097274718
-93.257243,18.124510,0.0011001955
-94.334302,18.134470,0.0010393834
